0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
nosql,sql,node-js,continuous-integration,python,mvc,mongodb,git,azure,microservices,spring,jenkins,sql-server,kotlin,api,full-stack,rest,android-testing,sonarqube,back-end,mockito,mobile,cloud-computing,android,javascript,testing-frameworks,cloud,junit,java,spring-boot,soap,linux,sonarqube-14cb7487-289b-4f1b-ae29-a5fd66c7b505
mysql,php,virtualization,vue-js,docker,full-stack,back-end,laravel,javascript,front-end,security-engineer,,,,,,,,,,,,,,,,,,,,,,
node-js,angularjs,oracle,git,jasper-report,full-stack,rest,back-end,jboss,javascript,angular,java,front-end,spring-boot,,,,,,,,,,,,,,,,,,,
jquery,node-js,html5,css,redux,react,express,back-end,typescript,english,javascript,,,,,,,,,,,,,,,,,,,,,,
angularjs,virtualization,amazon-web-services,full-stack,cloud-gcp,back-end,cloud-computing,english,javascript,cloud,angular,java,front-end,spring-boot,,,,,,,,,,,,,,,,,,,
ruby,node-js,devops,ruby-on-rails,angularjs,virtualization,vue-js,redux,docker,git,azure,react,amazon-web-services,express,full-stack,cloud-gcp,back-end,cloud-computing,javascript,cloud,angular,front-end,saga,,,,,,,,,,
node-js,postgresql,react,back-end,javascript,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,
node-js,postgresql,ceo,react,back-end,tech-lead,javascript,cloud,,,,,,,,,,,,,,,,,,,,,,,,,
node-js,devops,ruby-on-rails,angularjs,virtualization,vue-js,redux,docker,git,azure,react,amazon-web-services,express,full-stack,cloud-gcp,back-end,cloud-computing,javascript,cloud,angular,front-end,saga,,,,,,,,,,,
sql,python,virtualization,docker,git,sql-server,back-end,office-365,,,,,,,,,,,,,,,,,,,,,,,,,
business-intelligence,sap,abap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby-on-rails,react,javascript,ruby,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestjs,angularjs,postgresql,virtualization,docker,react,full-stack,rest,agile,typescript,javascript,angular,java,front-end,spring-boot,,,,,,,,,,,,,,,,,,
microservices,sre,back-end,agile,english,java,virtualization,amazon-web-services,cloud-computing,cloud,python,maven,gradle,project-management,,,,,,,,,,,,,,,,,,,
c-sharp,c,python,back-end,javascript,java,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestjs,angularjs,git,microservices,kubernetes,api,full-stack,typescript,javascript,angular,front-end,,,,,,,,,,,,,,,,,,,,,,
mysql,nosql,nestjs,node-js,angularjs,oracle,go,postgresql,virtualization,golang,mongodb,amazon-web-services,full-stack,back-end,firebase,mobile,cloud-computing,typescript,javascript,cloud,angular,front-end,,,,,,,,,,,
html5,css,virtualization,vue-js,docker,git,microservices,data-architecture,amazon-web-services,swagger,cloud-computing,typescript,javascript,cloud,infrastructure-as-code,cloudformation,linux,full-stack,,,,,,,,,,,,,,,
mysql,node-js,angularjs,php,codeigniter,virtualization,redux,mvc,mongodb,scrum,git,react,amazon-web-services,full-stack,rest,sonarqube,cloud-gcp,back-end,agile,cloud-computing,typescript,laravel,javascript,cloud,angular,front-end,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,sonarqube-14cb7487-289b-4f1b-ae29-a5fd66c7b505,,,,,
full-stack,sql,c-sharp,angularjs,c,graphql,api,rest,back-end,agile,javascript,angular,front-end,go,golang,,,,,,,,,,,,,,,,,,
nestjs,sql,node-js,git,full-stack,back-end,typescript,javascript,,,,,,,,,,,,,,,,,,,,,,,,,
tech-lead,english,cloud,security-engineer,back-end,agile,front-end,cloud-architecture,,,,,,,,,,,,,,,,,,,,,,,,,
python,git,back-end,data-engineer,java,machine-learning,ai,,,,,,,,,,,,,,,,,,,,,,,,,,
node-js,devops,net,scrum,react,graphql,express,api,full-stack,back-end,ci-cd,agile,javascript,cloud,,,,,,,,,,,,,,,,,,,
ux,english,functional-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosql,go,redux,golang,mongodb,react,microservices,back-end,english,front-end,,,,,,,,,,,,,,,,,,,,,,,
git,microservices,spring,functional-programming,tdd,back-end,ci-cd,java,spring-boot,,,,,,,,,,,,,,,,,,,,,,,,
redux,react,axios,jest,cypress,user-testing,javascript,testing-frameworks,,,,,,,,,,,,,,,,,,,,,,,,,
